year,iso_a3,name,local_price,dollar_price
2000,ARG,Argentina,2.5,2.5
2000,AUS,Australia,2.59,1.541666667
2000,BRA,Brazil,2.95,1.648044693
2000,CAN,Canada,2.85,1.93877551
2000,CHE,Switzerland,5.9,3.470588235
2000,CHL,Chile,1260,2.451361868
2000,CHN,China,9.9,1.195652174
2000,CZE,Czech Republic,54.37,1.390537084
2000,DNK,Denmark,24.75,3.078358209
2000,EUZ,Euro area,2.56,2.3808
2000,GBR,Britain,1.9,3.002000002
2000,HKG,Hong Kong,10.2,1.309370988
2000,HUN,Hungary,339,1.215053763
2000,IDN,Indonesia,14500,1.825047199
2000,ISR,Israel,14.5,3.580246914
2000,JPN,Japan,294,2.773584906
2000,KOR,South Korea,3000,2.707581227
2000,MEX,Mexico,20.9,2.221041445
2000,MYS,Malaysia,4.52,1.189473684
2000,NZL,New Zealand,3.4,1.691542289
2000,POL,Poland,5.5,1.279069767
2000,RUS,Russia,39.5,1.385964912
2000,SGP,Singapore,3.2,1.882352941
2000,SWE,Sweden,24,2.714932127
2000,THA,Thailand,55,1.447368421
2000,TWN,Taiwan,70,2.287581699
2000,USA,United States,2.51,2.51
2000,ZAF,South Africa,9,1.339285714
2001,ARG,Argentina,2.5,2.5
2001,AUS,Australia,3,1.515151515
2001,BRA,Brazil,3.6,1.643835616
2001,CAN,Canada,3.33,2.134615385
2001,CHE,Switzerland,6.3,3.641618497
2001,CHL,Chile,1260,2.096505824
2001,CHN,China,9.9,1.195652174
2001,CZE,Czech Republic,56,1.435897436
2001,DNK,Denmark,24.75,2.925531915
2001,EUZ,Euro area,2.57,2.261600001
2001,GBR,Britain,1.99,2.845700001
2001,HKG,Hong Kong,10.7,1.371794872
2001,HUN,Hungary,399,1.316831683
2001,IDN,Indonesia,14700,1.354214648
2001,JPN,Japan,294,2.370967742
2001,KOR,South Korea,3000,2.264150943
2001,MEX,Mexico,21.9,2.35737352
2001,MYS,Malaysia,4.52,1.189473684
2001,NZL,New Zealand,3.6,1.457489879
2001,PHL,Philippines,59,1.172962227
2001,POL,Poland,5.9,1.464019851
2001,RUS,Russia,35,1.211072664
2001,SGP,Singapore,3.3,1.82320442
2001,SWE,Sweden,24,2.33463035
2001,THA,Thailand,55,1.208791209
2001,TWN,Taiwan,70,2.127659574
2001,USA,United States,2.54,2.54
2001,ZAF,South Africa,9.7,1.193111931
2002,ARG,Argentina,2.5,0.798722045
2002,AUS,Australia,3,1.612903226
2002,BRA,Brazil,3.6,1.538461538
2002,CAN,Canada,3.33,2.121019108
2002,CHE,Switzerland,6.3,3.795180723
2002,CHL,Chile,1400,2.13740458
2002,CHN,China,10.5,1.268115942
2002,CZE,Czech Republic,56.28,1.655294118
2002,DNK,Denmark,24.75,2.953460621
2002,EUZ,Euro area,2.67,2.376299999
2002,GBR,Britain,1.99,2.885500002
2002,HKG,Hong Kong,11.2,1.4
2002,HUN,Hungary,459,1.6875
2002,IDN,Indonesia,16000,1.696712619
2002,ISR,Israel,12,2.505219207
2002,JPN,Japan,262,2.015384615
2002,KOR,South Korea,3100,2.377300613
2002,MEX,Mexico,21.9,2.359913793
2002,MYS,Malaysia,5.04,1.326315789
2002,NOR,Norway,35,4.088785047
2002,NZL,New Zealand,3.6,1.607142857
2002,PER,Peru,8.5,2.478134111
2002,PHL,Philippines,65,1.274509804
2002,POL,Poland,5.9,1.46039604
2002,RUS,Russia,39,1.25
2002,SGP,Singapore,3.3,1.813186813
2002,SWE,Sweden,26,2.5
2002,THA,Thailand,55,1.270207852
2002,TUR,Turkey,4.00E+06,3.02000755
2002,TWN,Taiwan,70,2.011494253
2002,USA,United States,2.49,2.49
2002,ZAF,South Africa,9.7,0.889908257
2003,ARG,Argentina,4.1,1.423611111
2003,AUS,Australia,3,1.863354037
2003,BRA,Brazil,4.55,1.482084691
2003,CAN,Canada,3.2,2.206896552
2003,CHE,Switzerland,6.3,4.598540146
2003,CHL,Chile,1400,1.955307263
2003,CHN,China,9.9,1.195652174
2003,CZE,Czech Republic,56.57,1.957439446
2003,DNK,Denmark,27.75,4.092920354
2003,EGY,Egypt,8,1.351351351
2003,EUZ,Euro area,2.71,2.981
2003,GBR,Britain,1.99,3.144200002
2003,HKG,Hong Kong,11.5,1.474358974
2003,HUN,Hungary,490,2.1875
2003,IDN,Indonesia,16100,1.842105263
2003,JPN,Japan,262,2.183333333
2003,KOR,South Korea,3300,2.704918033
2003,MEX,Mexico,23,2.184235518
2003,MYS,Malaysia,5.04,1.326315789
2003,NZL,New Zealand,3.95,2.219101124
2003,PER,Peru,7.9,2.283236994
2003,PHL,Philippines,65,1.238095238
2003,POL,Poland,6.3,1.619537275
2003,RUS,Russia,41,1.318327974
2003,SGP,Singapore,3.3,1.853932584
2003,SWE,Sweden,30,3.597122302
2003,THA,Thailand,59,1.381733021
2003,TUR,Turkey,3750000,2.343017807
2003,TWN,Taiwan,70,2.011494253
2003,USA,United States,2.71,2.71
2003,ZAF,South Africa,13.95,1.845238095
2003,ARG,Argentina,4.36,1.477966102
2003,AUS,Australia,3.25,2.272727273
2003,BRA,Brazil,5.4,1.698113208
2003,CAN,Canada,3.19,2.328467153
2003,CHE,Switzerland,6.3,4.88372093
2003,CHL,Chile,1400,2.184087363
2003,CHN,China,10.4,1.256038647
2003,COL,Colombia,6500,2.346714419
2003,CRI,Costa Rica,1130,2.606389113
2003,CZE,Czech Republic,56.42,2.129056604
2003,DNK,Denmark,27.75,4.461414791
2003,EGY,Egypt,10,1.615508885
2003,EUZ,Euro area,2.74,3.288000001
2003,GBR,Britain,1.88,3.365199999
2003,HKG,Hong Kong,12,1.540436457
2003,HUN,Hungary,530,2.511848341
2003,IDN,Indonesia,16100,1.765350877
2003,JPN,Japan,262,2.318584071
2003,KOR,South Korea,3200,2.718776551
2003,LKA,Sri Lanka,140,1.414141414
2003,MEX,Mexico,24,2.068965517
2003,MYS,Malaysia,5.04,1.326315789
2003,NOR,Norway,35.5,5.183162751
2003,NZL,New Zealand,4.35,2.652439024
2003,PAK,Pakistan,110,1.904432133
2003,PER,Peru,8.99,2.575931232
2003,PHL,Philippines,69,1.234347048
2003,POL,Poland,6.3,1.627906977
2003,RUS,Russia,42,1.448275862
2003,SAU,Saudi Arabia,2.4,0.639965868
2003,SGP,Singapore,3.3,1.929824561
2003,SWE,Sweden,30,3.94218134
2003,THA,Thailand,59,1.446078431
2003,TUR,Turkey,3950000,2.580013063
2003,TWN,Taiwan,75,2.245508982
2003,UKR,Ukraine,7.25,1.359842446
2003,URY,Uruguay,29.8,1.002185976
2003,USA,United States,2.9,2.9
2003,ZAF,South Africa,12.4,1.861861862
2004,ARE,UAE,9,2.450646698
2004,ARG,Argentina,4.75,1.639627201
2004,AUS,Australia,3.25,2.497118709
2004,BRA,Brazil,5.9,2.393703343
2004,CAN,Canada,3.28,2.625260125
2004,CHE,Switzerland,6.3,5.0501002
